Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years,BRef_Register_ID,BRef_Register_URL,Resolve_Status,Resolve_Method,Resolve_Reason,Birth_Year,Birth_Country,Birth_State,Chadwick_Name,Chadwick_Key
Andrew Vaughn,andrew vaughn,andrew,vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,MLB,28,2,2020;2021,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1998.0; approx_birth_year=1993; minor_id=vaughn000and; attempts=exact_full_name=2,1998.0,,,Andrew Vaughn,bbe99c3e
Coby Mayo,coby mayo,coby,mayo,14,2025,2025,3B/1B,Baltimore Orioles,MLB,24,2,2024;2025,mayo--000cob,https://www.baseball-reference.com/register/player.fcgi?id=mayo--000cob,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=mayo--000cob; attempts=exact_full_name=1,2001.0,,,Coby Mayo,ca05f29f
Diego Cartaya,diego cartaya,diego,cartaya,14,2023,2023,C,San Francisco Giants,A+,24,2,2022;2023,cartay000die,https://www.baseball-reference.com/register/player.fcgi?id=cartay000die,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=cartay000die; attempts=exact_full_name=1,2001.0,,,Diego Cartaya,79c7b20b
James Wood,james wood,james,wood,14,2024,2024,OF,Washington Nationals,MLB,23,2,2023;2024,wood--009jam,https://www.baseball-reference.com/register/player.fcgi?id=wood--009jam,resolved,chadwick_name_match_with_minor_id,matches=10; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=wood--009jam; attempts=exact_full_name=10,2002.0,,,James Wood,9d9912b0
Joey Bart,joey bart,joey,bart,14,2020,2022,C,Pittsburgh Pirates,MLB,29,4,2019;2020;2021;2022,bart--000joe,https://www.baseball-reference.com/register/player.fcgi?id=bart--000joe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1993; minor_id=bart--000joe; attempts=exact_full_name=1,1996.0,,,Joey Bart,c9f82b44
Brennen Davis,brennen davis,brennen,davis,15,2022,2023,OF,Seattle Mariners,AAA,26,4,2020;2021;2022;2023,davis-014bre,https://www.baseball-reference.com/register/player.fcgi?id=davis-014bre,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=davis-014bre; attempts=exact_full_name=2,1999.0,,,Brennen Davis,422550ad
Caleb Bonemer,caleb bonemer,caleb,bonemer,15,2026,2026,3B/SS,Chicago White Sox,A+,20,1,2026,boneme000cal,https://www.baseball-reference.com/register/player.fcgi?id=boneme000cal,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=boneme000cal; attempts=exact_full_name=1,2005.0,,,Caleb Bonemer,56e561b3
Druw Jones,druw jones,druw,jones,15,2023,2024,OF,Arizona Diamondbacks,AA,22,2,2023;2024,jones-000dru,https://www.baseball-reference.com/register/player.fcgi?id=jones-000dru,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=jones-000dru; attempts=exact_full_name=1,2003.0,,,Druw Jones,d73c7880
Aidan Miller,aidan miller,aidan,miller,16,2026,2026,SS,Philadelphia Phillies,AAA,21,3,2024;2025;2026,miller003aid,https://www.baseball-reference.com/register/player.fcgi?id=miller003aid,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=miller003aid; attempts=exact_full_name=4,2004.0,,,Aidan Miller,99db5d04
Pete Crow-Armstrong,pete crow-armstrong,pete,crow-armstrong,16,2024,2024,OF,Chicago Cubs,MLB,24,2,2023;2024,crow-a000pet,https://www.baseball-reference.com/register/player.fcgi?id=crow-a000pet,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2000; minor_id=crow-a000pet; attempts=exact_full_name=1,2002.0,,,Pete Crow-Armstrong,a260dfaa
Taylor Trammell,taylor trammell,taylor,trammell,16,2019,2021,OF,Houston Astros,MLB,28,4,2018;2019;2020;2021,tramme000tay,https://www.baseball-reference.com/register/player.fcgi?id=tramme000tay,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1993; minor_id=tramme000tay; attempts=exact_full_name=1,1997.0,,,Taylor Trammell,d8fe3e94
Triston Casas,triston casas,triston,casas,16,2022,2023,1B,Boston Red Sox,MLB,26,4,2020;2021;2022;2023,casas-000tri,https://www.baseball-reference.com/register/player.fcgi?id=casas-000tri,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=casas-000tri; attempts=exact_full_name=1,2000.0,,,Triston Casas,fb781ccd
Ethan Holliday,ethan holliday,ethan,holliday,17,2026,2026,SS,Colorado Rockies,A,19,1,2026,hollid000eth,https://www.baseball-reference.com/register/player.fcgi?id=hollid000eth,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=hollid000eth; attempts=exact_full_name=1,2007.0,,,Ethan Holliday,7d5114f6
Rafael Devers,rafael devers,rafael,devers,17,2017,2017,3B,San Francisco Giants,MLB,29,1,2017,devers000raf,https://www.baseball-reference.com/register/player.fcgi?id=devers000raf,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1988; minor_id=devers000raf; attempts=exact_full_name=1,1996.0,,,Rafael Devers,910d1ca4
Alek Thomas,alek thomas,alek,thomas,18,2022,2022,OF,Los Angeles Dodgers,ROK,26,3,2020;2021;2022,thomas002ale,https://www.baseball-reference.com/register/player.fcgi?id=thomas002ale,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=thomas002ale; attempts=exact_full_name=1,2000.0,,,Alek Thomas,68405d9b
Brooks Lee,brooks lee,brooks,lee,18,2024,2024,INF,Minnesota Twins,MLB,25,2,2023;2024,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=lee---000bro; attempts=exact_full_name=1,2001.0,,,Brooks Lee,b58ee416
Bryce Eldridge,bryce eldridge,bryce,eldridge,18,2026,2026,1B,San Francisco Giants,MLB,21,3,2024;2025;2026,eldrid000bry,https://www.baseball-reference.com/register/player.fcgi?id=eldrid000bry,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=eldrid000bry; attempts=exact_full_name=1,2004.0,,,Bryce Eldridge,537cb609
Lewis Brinson,lewis brinson,lewis,brinson,18,2017,2018,OF,—,—,32,2,2017;2018,brinso000lew,https://www.baseball-reference.com/register/player.fcgi?id=brinso000lew,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=brinso000lew; attempts=exact_full_name=1,1994.0,,,Lewis Brinson,3f8d7ae6
Colton Cowser,colton cowser,colton,cowser,19,2024,2024,OF,Baltimore Orioles,MLB,26,3,2022;2023;2024,cowser000col,https://www.baseball-reference.com/register/player.fcgi?id=cowser000col,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=cowser000col; attempts=exact_full_name=1,2000.0,,,Colton Cowser,43222d46
Luis Peña,luis pena,luis,pena,19,2026,2026,INF,Milwaukee Brewers,A+,19,1,2026,pena--010lui,https://www.baseball-reference.com/register/player.fcgi?id=pena--010lui,resolved,chadwick_name_match_with_minor_id,matches=11; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=pena--010lui; attempts=exact_full_name=11,2006.0,,,Luis Peña,3485999e
Matt Shaw,matt shaw,matt,shaw,19,2025,2025,INF,Chicago Cubs,MLB,24,2,2024;2025,shaw--000mat,https://www.baseball-reference.com/register/player.fcgi?id=shaw--000mat,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=shaw--000mat; attempts=exact_full_name=2,2001.0,,,Matt Shaw,df27ecca
Mickey Moniak,mickey moniak,mickey,moniak,19,2017,2018,OF,Colorado Rockies,MLB,28,2,2017;2018,moniak000mic,https://www.baseball-reference.com/register/player.fcgi?id=moniak000mic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1990; minor_id=moniak000mic; attempts=exact_full_name=1,1998.0,,,Mickey Moniak,1f506229
JJ Bleday,jj bleday,jj,bleday,20,2021,2022,OF,Cincinnati Reds,MLB,28,3,2020;2021;2022,bleday000jef,https://www.baseball-reference.com/register/player.fcgi?id=bleday000jef,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1994; minor_id=bleday000jef; attempts=exact_full_name=1,1997.0,,,JJ Bleday,c2f7e2c5
Keston Hiura,keston hiura,keston,hiura,20,2019,2019,1B,Los Angeles Dodgers,AAA,29,2,2018;2019,hiura-000kes,https://www.baseball-reference.com/register/player.fcgi?id=hiura-000kes,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1990; minor_id=hiura-000kes; attempts=exact_full_name=1,1996.0,,,Keston Hiura,a7ffba2f
Nick Gonzales,nick gonzales,nick,gonzales,20,2022,2022,2B/SS,Pittsburgh Pirates,MLB,26,2,2021;2022,gonzal004nic,https://www.baseball-reference.com/register/player.fcgi?id=gonzal004nic,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=1999.0; approx_birth_year=1996; minor_id=gonzal004nic; attempts=exact_full_name=4,1999.0,,,Nick Gonzales,222a5e04
Zyhir Hope,zyhir hope,zyhir,hope,20,2026,2026,OF,Los Angeles Dodgers,AA,21,2,2025;2026,hope--000zyh,https://www.baseball-reference.com/register/player.fcgi?id=hope--000zyh,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2005; minor_id=hope--000zyh; attempts=exact_full_name=1,2005.0,,,Zyhir Hope,8f6dfe86
Brett Baty,brett baty,brett,baty,21,2023,2023,3B/OF,New York Mets,MLB,26,4,2020;2021;2022;2023,baty--000bre,https://www.baseball-reference.com/register/player.fcgi?id=baty--000bre,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=baty--000bre; attempts=exact_full_name=1,1999.0,,,Brett Baty,de5e1284
Carter Kieboom,carter kieboom,carter,kieboom,21,2020,2020,SS/2B,Philadelphia Phillies,AAA,28,3,2018;2019;2020,kieboo000car,https://www.baseball-reference.com/register/player.fcgi?id=kieboo000car,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=kieboo000car; attempts=exact_full_name=1,1997.0,,,Carter Kieboom,0f76be24
George Lombard Jr.,george lombard,george,lombard,21,2026,2026,INF,New York Yankees,AAA,20,1,2026,lombar002geo,https://www.baseball-reference.com/register/player.fcgi?id=lombar002geo,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=lombar002geo; attempts=exact_full_name=2,2005.0,,,George Lombard,44a5ce60
Jasson Domínguez,jasson dominguez,jasson,dominguez,21,2025,2025,OF,New York Yankees,MLB,23,6,2020;2021;2022;2023;2024;2025,doming002jas,https://www.baseball-reference.com/register/player.fcgi?id=doming002jas,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=doming002jas; attempts=exact_full_name=1,2003.0,,,Jasson Domínguez,812c9b21
Willy Adames,willy adames,willy,adames,21,2017,2018,SS/2B,San Francisco Giants,MLB,30,2,2017;2018,adames000wil,https://www.baseball-reference.com/register/player.fcgi?id=adames000wil,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=adames000wil; attempts=exact_full_name=1,1995.0,,,Willy Adames,c774cc57
Austin Martin,austin martin,austin,martin,22,2021,2022,SS/OF/2B,Minnesota Twins,MLB,27,2,2021;2022,martin005aus,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus,resolved,chadwick_name_match_with_minor_id,matches=8; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=martin005aus; attempts=exact_full_name=8,1998.0,,,Austin Martin,cfeacf0c
Bradley Zimmer,bradley zimmer,bradley,zimmer,22,2017,2017,OF,Colorado Rockies,MLB,33,1,2017,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1992.0; approx_birth_year=1984; minor_id=zimmer000bra; attempts=exact_full_name=1,1992.0,,,Bradley Zimmer,f2fb7bb4
Colt Keith,colt keith,colt,keith,22,2024,2024,3B/2B,Detroit Tigers,MLB,24,1,2024,keith-000col,https://www.baseball-reference.com/register/player.fcgi?id=keith-000col,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=keith-000col; attempts=exact_full_name=1,2001.0,,,Colt Keith,24d0505e
Jac Caglianone,jac caglianone,jac,caglianone,22,2025,2025,1B/OF,Kansas City Royals,MLB,23,1,2025,caglia000jac,https://www.baseball-reference.com/register/player.fcgi?id=caglia000jac,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=caglia000jac; attempts=exact_full_name=1,2003.0,,,Jac Caglianone,d69acf22
Austin Hays,austin hays,austin,hays,23,2018,2018,OF,Chicago White Sox,MLB,30,1,2018,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=hays--000aus; attempts=exact_full_name=2,1995.0,,,Austin Hays,7631bdc6
JJ Wetherholt,jj wetherholt,jj,wetherholt,23,2025,2025,INF,St. Louis Cardinals,MLB,23,1,2025,wether000jj-,https://www.baseball-reference.com/register/player.fcgi?id=wether000jj-,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=wether000jj-; attempts=exact_full_name=1,2002.0,,,JJ Wetherholt,609747a3
Luis Urías,luis urias,luis,urias,23,2019,2019,INF,Arizona Diamondbacks,AAA,28,2,2018;2019,urias-000lui,https://www.baseball-reference.com/register/player.fcgi?id=urias-000lui,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=urias-000lui; attempts=exact_full_name=2,1997.0,,,Luis Urías,9d0be9c2
Manuel Margot,manuel margot,manuel,margot,23,2017,2017,OF,Detroit Tigers,AAA,31,1,2017,margot000man,https://www.baseball-reference.com/register/player.fcgi?id=margot000man,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=margot000man; attempts=exact_full_name=1,1994.0,,,Manuel Margot,ad2575b6
Braden Montgomery,braden montgomery,braden,montgomery,24,2026,2026,OF,Chicago White Sox,AAA,23,2,2025;2026,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=montgo002bra; attempts=exact_full_name=1,2003.0,,,Braden Montgomery,8b796b2d
Clint Frazier,clint frazier,clint,frazier,24,2017,2017,OF,Chicago White Sox,AAA,31,1,2017,frazie000cli,https://www.baseball-reference.com/register/player.fcgi?id=frazie000cli,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=frazie000cli; attempts=exact_full_name=1,1994.0,,,Clint Frazier,abec3bd3
Henry Davis,henry davis,henry,davis,24,2022,2023,C,Pittsburgh Pirates,MLB,26,2,2022;2023,davis-004hen,https://www.baseball-reference.com/register/player.fcgi?id=davis-004hen,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=davis-004hen; attempts=exact_full_name=3,1999.0,,,Henry Davis,4efd1ad8
Ezequiel Tovar,ezequiel tovar,ezequiel,tovar,25,2023,2023,SS,Colorado Rockies,MLB,24,1,2023,tovar-000eze,https://www.baseball-reference.com/register/player.fcgi?id=tovar-000eze,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=tovar-000eze; attempts=exact_full_name=1,2001.0,,,Ezequiel Tovar,4c61ea0d
Kahlil Watson,kahlil watson,kahlil,watson,25,2022,2022,OF,Cleveland Guardians,AAA,23,1,2022,watson000kah,https://www.baseball-reference.com/register/player.fcgi?id=watson000kah,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=1999; minor_id=watson000kah; attempts=exact_full_name=1,2003.0,,,Kahlil Watson,c7717f09
Rainiel Rodriguez,rainiel rodriguez,rainiel,rodriguez,25,2026,2026,C,St. Louis Cardinals,AA,19,1,2026,rodrig004rai,https://www.baseball-reference.com/register/player.fcgi?id=rodrig004rai,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=rodrig004rai; attempts=exact_full_name=1,2007.0,,,Rainiel Rodriguez,5e3ecd7b
Alfredo Duno,alfredo duno,alfredo,duno,26,2026,2026,C,Cincinnati Reds,A+,20,1,2026,duno--000alf,https://www.baseball-reference.com/register/player.fcgi?id=duno--000alf,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2006; minor_id=duno--000alf; attempts=exact_full_name=1,2006.0,,,Alfredo Duno,1858a5b0
Drew Waters,drew waters,drew,waters,26,2020,2021,OF,Kansas City Royals,AAA,27,3,2019;2020;2021,waters002dre,https://www.baseball-reference.com/register/player.fcgi?id=waters002dre,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=waters002dre; attempts=exact_full_name=1,1998.0,,,Drew Waters,bf0c6dd7
Oneil Cruz,oneil cruz,oneil,cruz,26,2022,2022,SS,Pittsburgh Pirates,MLB,27,4,2019;2020;2021;2022,cruz--000one,https://www.baseball-reference.com/register/player.fcgi?id=cruz--000one,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=cruz--000one; attempts=exact_full_name=1,1998.0,,,Oneil Cruz,13170be8
Termarr Johnson,termarr johnson,termarr,johnson,26,2023,2025,2B,Pittsburgh Pirates,AAA,21,3,2023;2024;2025,johnso008ter,https://www.baseball-reference.com/register/player.fcgi?id=johnso008ter,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=johnso008ter; attempts=exact_full_name=1,2004.0,,,Termarr Johnson,d26874ba
Josh Bell,josh bell,josh,bell,27,2017,2017,1B/OF,Minnesota Twins,MLB,33,1,2017,bell--004jos,https://www.baseball-reference.com/register/player.fcgi?id=bell--004jos,resolved,chadwick_name_match_with_minor_id,matches=7; selected_birth_year=1984.0; approx_birth_year=1984; minor_id=bell--004jos; attempts=exact_full_name=7,1984.0,,,Josh Bell,4f1d222b
Zac Veen,zac veen,zac,veen,27,2023,2023,OF,Colorado Rockies,AAA,24,3,2021;2022;2023,veen--001zac,https://www.baseball-reference.com/register/player.fcgi?id=veen--001zac,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=veen--001zac; attempts=exact_full_name=1,2001.0,,,Zac Veen,1edbc36e
Adael Amador,adael amador,adael,amador,28,2024,2024,2B,Colorado Rockies,AAA,23,2,2023;2024,amador000ada,https://www.baseball-reference.com/register/player.fcgi?id=amador000ada,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2001; minor_id=amador000ada; attempts=exact_full_name=1,2003.0,,,Adael Amador,96b67868
Ian Happ,ian happ,ian,happ,28,2017,2017,2B/OF,Chicago Cubs,MLB,31,1,2017,happ--000ian,https://www.baseball-reference.com/register/player.fcgi?id=happ--000ian,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=happ--000ian; attempts=exact_full_name=1,1994.0,,,Ian Happ,cbe72712
Kevin McGonigle,kevin mcgonigle,kevin,mcgonigle,28,2025,2025,SS,Detroit Tigers,MLB,21,1,2025,mcgoni000kev,https://www.baseball-reference.com/register/player.fcgi?id=mcgoni000kev,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=mcgoni000kev; attempts=exact_full_name=1,2004.0,,,Kevin McGonigle,b507662b
Charlie Condon,charlie condon,charlie,condon,29,2025,2026,1B/OF,Colorado Rockies,AAA,23,2,2025;2026,condon000cha,https://www.baseball-reference.com/register/player.fcgi?id=condon000cha,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=condon000cha; attempts=exact_full_name=1,2003.0,,,Charlie Condon,111878e8
Josh Jung,josh jung,josh,jung,29,2022,2023,3B,Texas Rangers,MLB,28,4,2020;2021;2022;2023,jung--000jos,https://www.baseball-reference.com/register/player.fcgi?id=jung--000jos,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=jung--000jos; attempts=exact_full_name=1,1998.0,,,Josh Jung,d6f86fa1
Juan Soto,juan soto,juan,soto,29,2018,2018,OF,New York Mets,MLB,27,1,2018,soto--002jua,https://www.baseball-reference.com/register/player.fcgi?id=soto--002jua,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=1990.0; approx_birth_year=1991; minor_id=soto--002jua; attempts=exact_full_name=4,1990.0,,,Juan Soto,43fdd822
Kyle Lewis,kyle lewis,kyle,lewis,29,2017,2018,OF,Arizona Diamondbacks,MLB,30,2,2017;2018,lewis-001kyl,https://www.baseball-reference.com/register/player.fcgi?id=lewis-001kyl,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=lewis-001kyl; attempts=exact_full_name=9,1995.0,,,Kyle Lewis,34e483ba
Alec Bohm,alec bohm,alec,bohm,30,2020,2020,3B/1B,Philadelphia Phillies,MLB,29,2,2019;2020,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1991; minor_id=bohm--000ale; attempts=exact_full_name=1,1996.0,,,Alec Bohm,99837e34
Corey Ray,corey ray,corey,ray,30,2017,2017,OF,Milwaukee Brewers,AA,31,1,2017,ray---001cor,https://www.baseball-reference.com/register/player.fcgi?id=ray---001cor,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1992.0; approx_birth_year=1986; minor_id=ray---001cor; attempts=exact_full_name=2,1992.0,,,Corey Ray,886ce19a
Dalton Rushing,dalton rushing,dalton,rushing,30,2025,2025,C/OF,Los Angeles Dodgers,MLB,25,2,2024;2025,rushin000dal,https://www.baseball-reference.com/register/player.fcgi?id=rushin000dal,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=rushin000dal; attempts=exact_full_name=1,2001.0,,,Dalton Rushing,25a0949a
Lazaro Montes,lazaro montes,lazaro,montes,30,2026,2026,OF,Seattle Mariners,AA,21,2,2025;2026,montes000laz,https://www.baseball-reference.com/register/player.fcgi?id=montes000laz,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=montes000laz; attempts=exact_full_name=1,2004.0,,,Lazaro Montes,129078c7
Sal Frelick,sal frelick,sal,frelick,30,2023,2023,OF,Milwaukee Brewers,MLB,26,2,2022;2023,frelic000sal,https://www.baseball-reference.com/register/player.fcgi?id=frelic000sal,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=frelic000sal; attempts=exact_full_name=1,2000.0,,,Sal Frelick,1e4dd87a
Chase DeLauter,chase delauter,chase,delauter,31,2024,2025,OF,Cleveland Guardians,MLB,24,3,2023;2024;2025,delaut000cha,https://www.baseball-reference.com/register/player.fcgi?id=delaut000cha,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=delaut000cha; attempts=exact_full_name=1,2001.0,,,Chase DeLauter,5a9b12f9
Jacob Wilson,jacob wilson,jacob,wilson,31,2025,2025,SS,Athletics,MLB,24,2,2024;2025,wilson021jac,https://www.baseball-reference.com/register/player.fcgi?id=wilson021jac,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=wilson021jac; attempts=exact_full_name=9,2002.0,,,Jacob Wilson,bb593c8b
Josuar Gonzalez,josuar gonzalez,josuar,gonzalez,31,2026,2026,SS,San Francisco Giants,ROK,18,1,2026,dejesu005jos,https://www.baseball-reference.com/register/player.fcgi?id=dejesu005jos,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2008; minor_id=dejesu005jos; attempts=exact_full_name=1,2007.0,,,Josuar Gonzalez,0bc59b2e
Heston Kjerstad,heston kjerstad,heston,kjerstad,32,2024,2024,OF,Baltimore Orioles,AAA,27,3,2021;2023;2024,kjerst000hes,https://www.baseball-reference.com/register/player.fcgi?id=kjerst000hes,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=kjerst000hes; attempts=exact_full_name=1,1999.0,,,Heston Kjerstad,de1f2870
JoJo Parker,jojo parker,jojo,parker,32,2026,2026,SS,Toronto Blue Jays,A,19,1,2026,parker000joj,https://www.baseball-reference.com/register/player.fcgi?id=parker000joj,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=parker000joj; attempts=exact_full_name=1,2006.0,,,JoJo Parker,b2ccc3e0
Kevin Maitan,kevin maitan,kevin,maitan,32,2017,2018,3B/SS/2B,Minnesota Twins,A+,26,2,2017;2018,maitan000kev,https://www.baseball-reference.com/register/player.fcgi?id=maitan000kev,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1992; minor_id=maitan000kev; attempts=exact_full_name=1,2000.0,,,Kevin Maitan,6c9feeef
Kyle Teel,kyle teel,kyle,teel,32,2025,2025,C,Chicago White Sox,AAA,24,2,2024;2025,teel--000kyl,https://www.baseball-reference.com/register/player.fcgi?id=teel--000kyl,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=teel--000kyl; attempts=exact_full_name=1,2002.0,,,Kyle Teel,5cc7dfe3
Alex Verdugo,alex verdugo,alex,verdugo,33,2018,2019,OF,San Diego Padres,ROK,30,3,2017;2018;2019,verdug000ale,https://www.baseball-reference.com/register/player.fcgi?id=verdug000ale,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1996.0; approx_birth_year=1989; minor_id=verdug000ale; attempts=exact_full_name=2,1996.0,,,Alex Verdugo,7de40bd0
Curtis Mead,curtis mead,curtis,mead,33,2023,2024,3B/2B,Washington Nationals,MLB,25,2,2023;2024,mead--000cur,https://www.baseball-reference.com/register/player.fcgi?id=mead--000cur,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1999; minor_id=mead--000cur; attempts=exact_full_name=1,2000.0,,,Curtis Mead,4828b852
