Player,URL,Status,Rows,Tables_Found,Tables_Accepted,Acquisition_Type,Confidence,Reason,Draft_Text,Signing_Text,High_School_Text,School_Text,Cached,Final_URL
Keston Hiura,https://www.baseball-reference.com/register/player.fcgi?id=hiura-000kes,200,6,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Milwaukee Brewers in the 1st round (9th) of the 2017 MLB June Amateur Draft from University of California, Irvine (Irvine, CA) .",,"High School: Valencia HS (Santa Clarita, CA)","High School: Valencia HS (Santa Clarita, CA) | School: University of California, Irvine (Irvine, CA)",False,https://www.baseball-reference.com/register/player.fcgi?id=hiura-000kes
Nick Gonzales,https://www.baseball-reference.com/register/player.fcgi?id=gonzal004nic,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Pittsburgh Pirates in the 1st round (7th) of the 2020 MLB June Amateur Draft from New Mexico State University (Las Cruces, NM) .",,,"School: New Mexico State University (Las Cruces, NM)",False,https://www.baseball-reference.com/register/player.fcgi?id=gonzal004nic
Zyhir Hope,https://www.baseball-reference.com/register/player.fcgi?id=hope--000zyh,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Zyhir Hope Positions: Leftfielder, Rightfielder and Centerfielder Bats: Left • Throws: Left 5-10 , 193lb (178cm, 87kg) Team: Los Angeles Dodgers (minors) Born: January 19, 2005 in Chesapeake, VA us Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . High School: Colonial Forge HS (Stafford, VA) Full Name: Zyhir Antonio Hope Pronunciation : \ ZYE-heer \ View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . | High School: Colonial Forge HS (Stafford, VA)","Zyhir Hope Positions: Leftfielder, Rightfielder and Centerfielder Bats: Left • Throws: Left 5-10 , 193lb (178cm, 87kg) Team: Los Angeles Dodgers (minors) Born: January 19, 2005 in Chesapeake, VA us Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . High School: Colonial Forge HS (Stafford, VA) Full Name: Zyhir Antonio Hope Pronunciation : \ ZYE-heer \ View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) .",,"Zyhir Hope Positions: Leftfielder, Rightfielder and Centerfielder Bats: Left • Throws: Left 5-10 , 193lb (178cm, 87kg) Team: Los Angeles Dodgers (minors) Born: January 19, 2005 in Chesapeake, VA us Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . High School: Colonial Forge HS (Stafford, VA) Full Name: Zyhir Antonio Hope Pronunciation : \ ZYE-heer \ View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . | High School: Colonial Forge HS (Stafford, VA)","Zyhir Hope Positions: Leftfielder, Rightfielder and Centerfielder Bats: Left • Throws: Left 5-10 , 193lb (178cm, 87kg) Team: Los Angeles Dodgers (minors) Born: January 19, 2005 in Chesapeake, VA us Draft : Drafted by the Chicago Cubs in the 11th round of the 2023 MLB June Amateur Draft from Colonial Forge HS (Stafford, VA) . High School: Colonial Forge HS (Stafford, VA) Full Name: Zyhir Antonio Hope Pronunciation : \ ZYE-heer \ View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Colonial Forge HS (Stafford, VA)",False,https://www.baseball-reference.com/register/player.fcgi?id=hope--000zyh
Brett Baty,https://www.baseball-reference.com/register/player.fcgi?id=baty--000bre,200,2,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the New York Mets in the 1st round (12th) of the 2019 MLB June Amateur Draft from Lake Travis HS (Austin, TX) . | High School: Lake Travis HS (Austin, TX)","Draft : Drafted by the New York Mets in the 1st round (12th) of the 2019 MLB June Amateur Draft from Lake Travis HS (Austin, TX) .",,"Draft : Drafted by the New York Mets in the 1st round (12th) of the 2019 MLB June Amateur Draft from Lake Travis HS (Austin, TX) . | High School: Lake Travis HS (Austin, TX)","High School: Lake Travis HS (Austin, TX)",False,https://www.baseball-reference.com/register/player.fcgi?id=baty--000bre
Carter Kieboom,https://www.baseball-reference.com/register/player.fcgi?id=kieboo000car,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Washington Nationals in the 1st round (28th) of the 2016 MLB June Amateur Draft from Walton HS (Marietta, GA) . | High School: Walton HS (Marietta, GA)","Draft : Drafted by the Washington Nationals in the 1st round (28th) of the 2016 MLB June Amateur Draft from Walton HS (Marietta, GA) .",,"Draft : Drafted by the Washington Nationals in the 1st round (28th) of the 2016 MLB June Amateur Draft from Walton HS (Marietta, GA) . | High School: Walton HS (Marietta, GA)","High School: Walton HS (Marietta, GA)",False,https://www.baseball-reference.com/register/player.fcgi?id=kieboo000car
George Lombard Jr.,https://www.baseball-reference.com/register/player.fcgi?id=lombar002geo,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: George Lombard Jr. Positions: Shortstop, Second Baseman and Third Baseman Bats: Right • Throws: Right 6-2 , 190lb (188cm, 86kg) Team: New York Yankees (minors) Born: June 2, 2005 in Miami, FL us Draft : Drafted by the New York Yankees in the 1st round (26th) of the 2023 MLB June Amateur Draft from Gulliver Preparatory School (Pinecrest, FL) . High School: Gulliver Preparatory School (Pinecrest, FL) Full Name: George Alexander Lombard View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Gulliver Preparatory School (Pinecrest, FL)","George Lombard Jr. Positions: Shortstop, Second Baseman and Third Baseman Bats: Right • Throws: Right 6-2 , 190lb (188cm, 86kg) Team: New York Yankees (minors) Born: June 2, 2005 in Miami, FL us Draft : Drafted by the New York Yankees in the 1st round (26th) of the 2023 MLB June Amateur Draft from Gulliver Preparatory School (Pinecrest, FL) . High School: Gulliver Preparatory School (Pinecrest, FL) Full Name: George Alexander Lombard View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the New York Yankees in the 1st round (26th) of the 2023 MLB June Amateur Draft from Gulliver Preparatory School (Pinecrest, FL) .",,"George Lombard Jr. Positions: Shortstop, Second Baseman and Third Baseman Bats: Right • Throws: Right 6-2 , 190lb (188cm, 86kg) Team: New York Yankees (minors) Born: June 2, 2005 in Miami, FL us Draft : Drafted by the New York Yankees in the 1st round (26th) of the 2023 MLB June Amateur Draft from Gulliver Preparatory School (Pinecrest, FL) . High School: Gulliver Preparatory School (Pinecrest, FL) Full Name: George Alexander Lombard View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Gulliver Preparatory School (Pinecrest, FL)","George Lombard Jr. Positions: Shortstop, Second Baseman and Third Baseman Bats: Right • Throws: Right 6-2 , 190lb (188cm, 86kg) Team: New York Yankees (minors) Born: June 2, 2005 in Miami, FL us Draft : Drafted by the New York Yankees in the 1st round (26th) of the 2023 MLB June Amateur Draft from Gulliver Preparatory School (Pinecrest, FL) . High School: Gulliver Preparatory School (Pinecrest, FL) Full Name: George Alexander Lombard View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Gulliver Preparatory School (Pinecrest, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=lombar002geo
Jasson Domínguez,https://www.baseball-reference.com/register/player.fcgi?id=doming002jas,200,4,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 18,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=doming002jas
Willy Adames,https://www.baseball-reference.com/register/player.fcgi?id=adames000wil,200,7,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 14,,"Willy Adames Position: Shortstop Bats: Right • Throws: Right 6-0 , 216lb (183cm, 97kg) Team: San Francisco Giants (majors) Born: September 2 , 1995 in Santiago, Dominican Republic do Rookie Status: Exceeded rookie limits during 2018 season 2026 Contract Status : Signed thru 2031, 7 yrs/$182M (25-31) Service Time (01/2026) : 7.105 • Free Agent : 2032 Agents : CAA Sports Full Name: Willy Rafael Adames Nicknames: The Kid Pronunciation : \ ah-DAH-mess \ Instagram: @willy2802 View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2031, 7 yrs/$182M (25-31)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=adames000wil
Austin Martin,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus,200,2,1,1,College,high,College/NCAA batting rows found through age 21,,,,"Austin Martin Position: Catcher Bats: Right • Throws: Right 6-1 , 205lb (185cm, 92kg) Born: February 23, 1998 in Des Moines, IA us School: University of Iowa (Iowa City, IA) Full Name: Austin Jay Martin View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | School: University of Iowa (Iowa City, IA)",False,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus
Bradley Zimmer,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Chicago Cubs in the 23rd round of the 2011 MLB June Amateur Draft from La Jolla HS (La Jolla, CA) and the Cleveland Indians in the 1st round (21st) of the 2014 MLB June Amateur Draft from University of San Francisco (San Francisco, CA) .",,"Draft : Drafted by the Chicago Cubs in the 23rd round of the 2011 MLB June Amateur Draft from La Jolla HS (La Jolla, CA) and the Cleveland Indians in the 1st round (21st) of the 2014 MLB June Amateur Draft from University of San Francisco (San Francisco, CA) . | High School: La Jolla HS (La Jolla, CA)","High School: La Jolla HS (La Jolla, CA) | School: University of San Francisco (San Francisco, CA)",False,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra
Colt Keith,https://www.baseball-reference.com/register/player.fcgi?id=keith-000col,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Detroit Tigers in the 5th round of the 2020 MLB June Amateur Draft from Biloxi HS (Biloxi, MS) . | High School: Biloxi HS (Biloxi, MS)","Draft : Drafted by the Detroit Tigers in the 5th round of the 2020 MLB June Amateur Draft from Biloxi HS (Biloxi, MS) .","2026 Contract Status : Signed thru 2029, 6 yrs/$31.64M (24-29) & 30-32 team option","Draft : Drafted by the Detroit Tigers in the 5th round of the 2020 MLB June Amateur Draft from Biloxi HS (Biloxi, MS) . | High School: Biloxi HS (Biloxi, MS)","High School: Biloxi HS (Biloxi, MS)",False,https://www.baseball-reference.com/register/player.fcgi?id=keith-000col
Jac Caglianone,https://www.baseball-reference.com/register/player.fcgi?id=caglia000jac,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Kansas City Royals in the 1st round (6th) of the 2024 MLB June Amateur Draft from University of Florida (Gainesville, FL) .",,"High School: H. B. Plant HS (Tampa, FL)","High School: H. B. Plant HS (Tampa, FL) | School: University of Florida (Gainesville, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=caglia000jac
Austin Hays,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,200,6,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Baltimore Orioles in the 3rd round of the 2016 MLB June Amateur Draft from Jacksonville University (Jacksonville, FL) .","2026 Contract Status : Signed thru 2026, 1 yr/$6M (26) & 27 mutual option","High School: Spruce Creek HS (Port Orange, FL)","High School: Spruce Creek HS (Port Orange, FL) | School: Jacksonville University (Jacksonville, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus
JJ Wetherholt,https://www.baseball-reference.com/register/player.fcgi?id=wether000jj-,200,7,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the St. Louis Cardinals in the 1st round (7th) of the 2024 MLB June Amateur Draft from West Virginia University (Morgantown, WV) .",,,"School: West Virginia University (Morgantown, WV)",False,https://www.baseball-reference.com/register/player.fcgi?id=wether000jj-
Luis Urías,https://www.baseball-reference.com/register/player.fcgi?id=urias-000lui,200,6,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=urias-000lui
Manuel Margot,https://www.baseball-reference.com/register/player.fcgi?id=margot000man,200,8,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 14,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=margot000man
Braden Montgomery,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Braden Montgomery Positions: Rightfielder, Centerfielder and Relief Pitcher Bats: Both • Throws: Right 6-2 , 220lb (188cm, 99kg) Team: Chicago White Sox (minors) Born: April 16, 2003 in Des Moines, IA us Draft : Drafted by the Boston Red Sox in the 1st round (12th) of the 2024 MLB June Amateur Draft from Texas A&M University (College Station, TX) . Schools: Stanford University (Palo Alto, CA) , Texas A&M University (College Station, TX) National Team: us USA (College) Full Name: Braden Abraham Montgomery View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Boston Red Sox in the 1st round (12th) of the 2024 MLB June Amateur Draft from Texas A&M University (College Station, TX) .",,,,False,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra
Clint Frazier,https://www.baseball-reference.com/register/player.fcgi?id=frazie000cli,200,5,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Cleveland Indians in the 1st round (5th) of the 2013 MLB June Amateur Draft from Loganville HS (Loganville, GA) . | High School: Loganville HS (Loganville, GA)","Draft : Drafted by the Cleveland Indians in the 1st round (5th) of the 2013 MLB June Amateur Draft from Loganville HS (Loganville, GA) .",,"Draft : Drafted by the Cleveland Indians in the 1st round (5th) of the 2013 MLB June Amateur Draft from Loganville HS (Loganville, GA) . | High School: Loganville HS (Loganville, GA)","High School: Loganville HS (Loganville, GA)",False,https://www.baseball-reference.com/register/player.fcgi?id=frazie000cli
Henry Davis,https://www.baseball-reference.com/register/player.fcgi?id=davis-004hen,200,5,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Pittsburgh Pirates in the 1st round (1st) of the 2021 MLB June Amateur Draft from University of Louisville (Louisville, KY) .",,"High School: Fox Lane HS (Bedford, NY)","High School: Fox Lane HS (Bedford, NY) | School: University of Louisville (Louisville, KY)",False,https://www.baseball-reference.com/register/player.fcgi?id=davis-004hen
Ezequiel Tovar,https://www.baseball-reference.com/register/player.fcgi?id=tovar-000eze,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 16,,"Ezequiel Tovar Position: Shortstop Bats: Right • Throws: Right 6-0 , 192lb (183cm, 87kg) Team: Colorado Rockies (majors) Born: August 1 , 2001 in Maracay, Venezuela ve Rookie Status: Exceeded rookie limits during 2023 season 2026 Contract Status : Signed thru 2030, 7 yrs/$63.5M (24-30) & 31 team option Service Time (01/2026) : 3.014 • Free Agent : 2031 Full Name: Ezequiel Jesus Tovar Pronunciation : \ eh-ZEE-kee-ehl TOE-var \ Instagram: @e.tovar11 View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2030, 7 yrs/$63.5M (24-30) & 31 team option",,,False,https://www.baseball-reference.com/register/player.fcgi?id=tovar-000eze
Kahlil Watson,https://www.baseball-reference.com/register/player.fcgi?id=watson000kah,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Kahlil Watson Positions: Shortstop, Second Baseman and Centerfielder Bats: Left • Throws: Right 5-9 , 178lb (175cm, 80kg) Team: Cleveland Guardians (minors, 40-man) Born: April 16, 2003 in Chase City, VA us Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . High School: Wake Forest HS (Wake Forest, NC) Full Name: Kahlil Lorenzo Watson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . | High School: Wake Forest HS (Wake Forest, NC)","Kahlil Watson Positions: Shortstop, Second Baseman and Centerfielder Bats: Left • Throws: Right 5-9 , 178lb (175cm, 80kg) Team: Cleveland Guardians (minors, 40-man) Born: April 16, 2003 in Chase City, VA us Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . High School: Wake Forest HS (Wake Forest, NC) Full Name: Kahlil Lorenzo Watson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) .",,"Kahlil Watson Positions: Shortstop, Second Baseman and Centerfielder Bats: Left • Throws: Right 5-9 , 178lb (175cm, 80kg) Team: Cleveland Guardians (minors, 40-man) Born: April 16, 2003 in Chase City, VA us Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . High School: Wake Forest HS (Wake Forest, NC) Full Name: Kahlil Lorenzo Watson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . | High School: Wake Forest HS (Wake Forest, NC)","Kahlil Watson Positions: Shortstop, Second Baseman and Centerfielder Bats: Left • Throws: Right 5-9 , 178lb (175cm, 80kg) Team: Cleveland Guardians (minors, 40-man) Born: April 16, 2003 in Chase City, VA us Draft : Drafted by the Miami Marlins in the 1st round (16th) of the 2021 MLB June Amateur Draft from Wake Forest HS (Wake Forest, NC) . High School: Wake Forest HS (Wake Forest, NC) Full Name: Kahlil Lorenzo Watson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Wake Forest HS (Wake Forest, NC)",False,https://www.baseball-reference.com/register/player.fcgi?id=watson000kah
Rainiel Rodriguez,https://www.baseball-reference.com/register/player.fcgi?id=rodrig004rai,200,3,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=rodrig004rai
Alfredo Duno,https://www.baseball-reference.com/register/player.fcgi?id=duno--000alf,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=duno--000alf
Drew Waters,https://www.baseball-reference.com/register/player.fcgi?id=waters002dre,200,3,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Atlanta Braves in the 2nd round of the 2017 MLB June Amateur Draft from Etowah HS (Woodstock, GA) . | High School: Etowah HS (Woodstock, GA)","Draft : Drafted by the Atlanta Braves in the 2nd round of the 2017 MLB June Amateur Draft from Etowah HS (Woodstock, GA) .",,"Draft : Drafted by the Atlanta Braves in the 2nd round of the 2017 MLB June Amateur Draft from Etowah HS (Woodstock, GA) . | High School: Etowah HS (Woodstock, GA)","High School: Etowah HS (Woodstock, GA)",False,https://www.baseball-reference.com/register/player.fcgi?id=waters002dre
Oneil Cruz,https://www.baseball-reference.com/register/player.fcgi?id=cruz--000one,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 17,,"Oneil Cruz Positions: Shortstop, Centerfielder and Third Baseman Bats: Left • Throws: Right 6-7 , 248lb (201cm, 112kg) Team: Pittsburgh Pirates (majors) Born: October 4 , 1998 in Nizao, Dominican Republic do Rookie Status: Exceeded rookie limits during 2022 season 2026 Contract Status : Signed thru 2026, 1 yr/$3.3M (26) Service Time (01/2026) : 3.110 • Arb Eligible : 2027 • Free Agent : 2029 Agents : CAA Sports • Previously : Vayner Sports Full Name: Oneil Cruz Instagram: @oneilcruz_04 View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | 2026 Contract Status : Signed thru 2026, 1 yr/$3.3M (26)",,,False,https://www.baseball-reference.com/register/player.fcgi?id=cruz--000one
Termarr Johnson,https://www.baseball-reference.com/register/player.fcgi?id=johnso008ter,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Termarr Johnson Positions: Second Baseman and Shortstop Bats: Left • Throws: Right 5-7 , 201lb (170cm, 91kg) Team: Pittsburgh Pirates (minors) Born: June 11, 2004 in Atlanta, GA us Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . High School: Benjamin E. Mays HS (Atlanta, GA) National Team: us USA (Pro,18U,15U) Full Name: Termarr Johnson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . | High School: Benjamin E. Mays HS (Atlanta, GA)","Termarr Johnson Positions: Second Baseman and Shortstop Bats: Left • Throws: Right 5-7 , 201lb (170cm, 91kg) Team: Pittsburgh Pirates (minors) Born: June 11, 2004 in Atlanta, GA us Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . High School: Benjamin E. Mays HS (Atlanta, GA) National Team: us USA (Pro,18U,15U) Full Name: Termarr Johnson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) .",,"Termarr Johnson Positions: Second Baseman and Shortstop Bats: Left • Throws: Right 5-7 , 201lb (170cm, 91kg) Team: Pittsburgh Pirates (minors) Born: June 11, 2004 in Atlanta, GA us Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . High School: Benjamin E. Mays HS (Atlanta, GA) National Team: us USA (Pro,18U,15U) Full Name: Termarr Johnson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . | High School: Benjamin E. Mays HS (Atlanta, GA)","Termarr Johnson Positions: Second Baseman and Shortstop Bats: Left • Throws: Right 5-7 , 201lb (170cm, 91kg) Team: Pittsburgh Pirates (minors) Born: June 11, 2004 in Atlanta, GA us Draft : Drafted by the Pittsburgh Pirates in the 1st round (4th) of the 2022 MLB June Amateur Draft from Benjamin E. Mays HS (Atlanta, GA) . High School: Benjamin E. Mays HS (Atlanta, GA) National Team: us USA (Pro,18U,15U) Full Name: Termarr Johnson View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: Benjamin E. Mays HS (Atlanta, GA)",False,https://www.baseball-reference.com/register/player.fcgi?id=johnso008ter
Josh Bell,https://www.baseball-reference.com/register/player.fcgi?id=bell--004jos,200,2,1,1,High School,high,"BRef draft/bio text indicates high school path: Josh Bell Positions: Catcher and Third Baseman Bats: Right • Throws: Right 6-0 , 215lb (183cm, 97kg) Born: July 3, 1984 in Jackson, TN us Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . High School: North Side HS (Jackson, TN) School: Auburn University (Auburn, AL) Full Name: Joshua L. Bell View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . | High School: North Side HS (Jackson, TN)","Josh Bell Positions: Catcher and Third Baseman Bats: Right • Throws: Right 6-0 , 215lb (183cm, 97kg) Born: July 3, 1984 in Jackson, TN us Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . High School: North Side HS (Jackson, TN) School: Auburn University (Auburn, AL) Full Name: Joshua L. Bell View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) .",,"Josh Bell Positions: Catcher and Third Baseman Bats: Right • Throws: Right 6-0 , 215lb (183cm, 97kg) Born: July 3, 1984 in Jackson, TN us Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . High School: North Side HS (Jackson, TN) School: Auburn University (Auburn, AL) Full Name: Joshua L. Bell View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . | High School: North Side HS (Jackson, TN)","Josh Bell Positions: Catcher and Third Baseman Bats: Right • Throws: Right 6-0 , 215lb (183cm, 97kg) Born: July 3, 1984 in Jackson, TN us Draft : Drafted by the St. Louis Cardinals in the 5th round of the 2002 MLB June Amateur Draft from North Side HS (Jackson, TN) and the Toronto Blue Jays in the 6th round of the 2005 MLB June Amateur Draft from Auburn University (Auburn, AL) . High School: North Side HS (Jackson, TN) School: Auburn University (Auburn, AL) Full Name: Joshua L. Bell View Player Info from the B-R Bullpen More bio, uniform, draft, salary info | High School: North Side HS (Jackson, TN) | School: Auburn University (Auburn, AL)",False,https://www.baseball-reference.com/register/player.fcgi?id=bell--004jos
Zac Veen,https://www.baseball-reference.com/register/player.fcgi?id=veen--001zac,200,4,1,1,High School,high,"BRef draft/bio text indicates high school path: Draft : Drafted by the Colorado Rockies in the 1st round (9th) of the 2020 MLB June Amateur Draft from Spruce Creek HS (Port Orange, FL) . | High School: Spruce Creek HS (Port Orange, FL)","Draft : Drafted by the Colorado Rockies in the 1st round (9th) of the 2020 MLB June Amateur Draft from Spruce Creek HS (Port Orange, FL) .",,"Draft : Drafted by the Colorado Rockies in the 1st round (9th) of the 2020 MLB June Amateur Draft from Spruce Creek HS (Port Orange, FL) . | High School: Spruce Creek HS (Port Orange, FL)","High School: Spruce Creek HS (Port Orange, FL)",False,https://www.baseball-reference.com/register/player.fcgi?id=veen--001zac
Adael Amador,https://www.baseball-reference.com/register/player.fcgi?id=amador000ada,200,5,1,1,International,low,Fallback only: no draft/signing context found; born outside US/Canada/PR (NAN); first pro age 18,,,,,False,https://www.baseball-reference.com/register/player.fcgi?id=amador000ada
Ian Happ,https://www.baseball-reference.com/register/player.fcgi?id=happ--000ian,200,8,1,1,College,high,College/NCAA batting rows found through age 21,"Draft : Drafted by the Chicago Cubs in the 1st round (9th) of the 2015 MLB June Amateur Draft from University of Cincinnati (Cincinnati, OH) .","2026 Contract Status : Signed thru 2026, 3 yrs/$61M (24-26)","High School: Mount Lebanon HS (Pittsburgh, PA)","High School: Mount Lebanon HS (Pittsburgh, PA) | School: University of Cincinnati (Cincinnati, OH)",False,https://www.baseball-reference.com/register/player.fcgi?id=happ--000ian
